"Civil War"	"GDP PC"	"Log Pop"	"Oil and Gas"	"Trade"
NA	7.62599992752075	11.8562955856323	NA	NA
0	7.62599992752075	11.8562955856323	NA	NA
0	7.65399980545044	11.8631315231323	NA	NA
0	8.02499961853027	11.8685913085938	NA	NA
0	8.27000045776367	11.8867349624634	NA	NA
1	8.03999996185303	11.9048795700073	NA	NA
0	8.77200031280518	11.9334306716919	NA	NA
0	9.10900020599365	11.9511804580688	NA	NA
0	9.07400035858154	11.9686212539673	NA	NA
0	9.30000019073486	11.9858932495117	NA	NA
0	9.08899974822998	12.0027437210083	NA	NA
0	9.72299957275391	12.0193157196045	NA	NA
0	9.71199989318848	12.0369558334351	NA	NA
0	9.64299964904785	12.0542898178101	NA	NA
0	9.36999988555908	12.0712089538574	NA	NA
0	9.83899974822998	12.0879650115967	NA	NA
0	9.89500045776367	12.1044445037842	5.90424776077271	9.69318103790283
0	9.94600009918213	12.1209888458252	5.9164514541626	9.444655418396
0	10.3579998016357	12.1363849639893	5.96363544464111	9.42932510375977
0	10.6420001983643	12.1507921218872	5.9845404624939	9.47070693969727
0	11.0719995498657	12.1646718978882	5.95899772644043	9.72587966918945
0	11.6490001678467	12.1772050857544	5.99941682815552	9.7303466796875
0	12.1639995574951	12.1887435913086	6.02541065216064	10.0975904464722
0	12.3179998397827	12.1996374130249	6.04245042800903	10.2081003189087
0	12.7229995727539	12.2095966339111	6.04051828384399	10.593939781189
0	12.9750003814697	12.2193593978882	6.07338666915894	10.6356296539307
0	12.9630002975464	12.2310190200806	6.15750455856323	11.3886404037476
